reactKey,timeStr,type,time,overloadTime,eventId,player,homeScore,awayScore,profileUrl,overloadTimeStr,isHome,ownGoal,goalDescription,goalDescriptionKey,suffix,suffixKey,isPenaltyShootoutEvent,nameStr,firstName,lastName,fullName,playerId,newScore,penShootoutScore,shotmapEvent,assistStr,assistProfileUrl,assistPlayerId,assistKey,assistInput,goal_scorer
1302649834Goal942381undefinedtrue,34,Goal,34,,13026498,"{'id': 942381, 'name': 'Jurrien Timber', 'profileUrl': '/players/942381/jurrien-timber'}",0,0,/players/942381/jurrien-timber,False,True,,Header,header,,,False,Jurrien Timber,Jurrien,Timber,Jurrien Timber,942381,"[1, 0]",,"{'id': 2838455611, 'eventType': 'Goal', 'teamId': 9825, 'playerId': 942381, 'playerName': 'Jurrien Timber', 'x': 100.6379310348, 'y': 34.1525, 'min': 34, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 30.797499999999996, 'goalCrossedZ': 0.6099999970000001, 'expectedGoals': 0.2178587168455124, 'expectedGoalsOnTarget': 0.9222174286842346, 'shotType': 'Header', 'situation': 'FromCorner', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.8472222222222223, 'y': 0.16137566058201058, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 637656, 'firstName': 'Jurrien', 'lastName': 'Timber', 'fullName': 'Jurrien Timber', 'teamColor': '#bd0510'}",assist by Declan Rice,/players/654096/declan-rice,654096.0,assist_by,Declan Rice,Timber
1302688956Goal942381undefinedtrue,56,Goal,56,,13026889,"{'id': 942381, 'name': 'Jurrien Timber', 'profileUrl': '/players/942381/jurrien-timber'}",3,0,/players/942381/jurrien-timber,False,True,,,,,,False,Jurrien Timber,Jurrien,Timber,Jurrien Timber,942381,"[4, 0]",,"{'id': 2838496503, 'eventType': 'Goal', 'teamId': 9825, 'playerId': 942381, 'playerName': 'Jurrien Timber', 'x': 102.06034482780001, 'y': 34.61, 'min': 56, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 32.70374999999999, 'goalCrossedZ': 1.3034736778000002, 'expectedGoals': 0.3956354856491089, 'expectedGoalsOnTarget': 0.744236409664154, 'shotType': 'RightFoot', 'situation': 'FromCorner', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.3429232804232825, 'y': 0.34483430629629636, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 637656, 'firstName': 'Jurrien', 'lastName': 'Timber', 'fullName': 'Jurrien Timber', 'teamColor': '#bd0510'}",assist by Riccardo Calafiori,/players/1105912/riccardo-calafiori,1105912.0,assist_by,Riccardo Calafiori,Timber
1302659745Goal961995undefinedtrue,45 + 1,Goal,45,1.0,13026597,"{'id': 961995, 'name': 'Bukayo Saka', 'profileUrl': '/players/961995/bukayo-saka'}",1,0,/players/961995/bukayo-saka,+1,True,,,,,,False,Bukayo Saka,Bukayo,Saka,Bukayo Saka,961995,"[2, 0]",,"{'id': 2838468333, 'eventType': 'Goal', 'teamId': 9825, 'playerId': 961995, 'playerName': 'Bukayo Saka', 'x': 100.3534482762, 'y': 21.4068789844, 'min': 45, 'minAdded': 1, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 33.39, 'goalCrossedZ': 1.6245263078, 'expectedGoals': 0.10565783083438873, 'expectedGoalsOnTarget': 0.25828486680984497, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.1613756613756612, 'y': 0.42976886449735446, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 637656, 'firstName': 'Bukayo', 'lastName': 'Saka', 'fullName': 'Bukayo Saka', 'teamColor': '#bd0510'}",assist by Jurrien Timber,/players/942381/jurrien-timber,942381.0,assist_by,Jurrien Timber,Saka
1302679648Goal664500undefinedtrue,48,Goal,48,,13026796,"{'id': 664500, 'name': 'Viktor Gyökeres', 'profileUrl': '/players/664500/viktor-gyokeres'}",2,0,/players/664500/viktor-gyokeres,False,True,,,,,,False,Viktor Gyökeres,Viktor,Gyökeres,Viktor Gyökeres,664500,"[3, 0]",,"{'id': 2838488383, 'eventType': 'Goal', 'teamId': 9825, 'playerId': 664500, 'playerName': 'Viktor Gyökeres', 'x': 95.54385964789999, 'y': 42.1771875, 'min': 48, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 36.2875, 'goalCrossedZ': 0.20547368320000003, 'expectedGoals': 0.06031104177236557, 'expectedGoalsOnTarget': 0.23955044150352478, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.39484126984126955, 'y': 0.05435811724867726, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 637656, 'firstName': 'Viktor', 'lastName': 'Gyökeres', 'fullName': 'Viktor Gyökeres', 'teamColor': '#bd0510'}",assist by Riccardo Calafiori,/players/1105912/riccardo-calafiori,1105912.0,assist_by,Riccardo Calafiori,Gyökeres
1302727790Goal664500undefinedtrue,90 + 5,Goal,90,5.0,13027277,"{'id': 664500, 'name': 'Viktor Gyökeres', 'profileUrl': '/players/664500/viktor-gyokeres'}",4,0,/players/664500/viktor-gyokeres,+5,True,,Penalty,penalty,Pen,penalties_short,False,Viktor Gyökeres,Viktor,Gyökeres,Viktor Gyökeres,664500,"[5, 0]",,"{'id': 2838532509, 'eventType': 'Goal', 'teamId': 9825, 'playerId': 664500, 'playerName': 'Viktor Gyökeres', 'x': 94, 'y': 34, 'min': 90, 'minAdded': 5, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 36.440000000000005, 'goalCrossedZ': 0.6934736808, 'expectedGoals': 0.7884, 'expectedGoalsOnTarget': 0.6104829907417297, 'shotType': 'RightFoot', 'situation': 'Penalty', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.3544973544973533, 'y': 0.18345864571428572, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 637656, 'firstName': 'Viktor', 'lastName': 'Gyökeres', 'fullName': 'Viktor Gyökeres', 'teamColor': '#bd0510'}",,,,,,Gyökeres
1302409147Goal623716undefinedtrue,47,Goal,47,,13024091,"{'id': 623716, 'name': 'Josh Cullen', 'profileUrl': '/players/623716/josh-cullen'}",0,0,/players/623716/josh-cullen,False,True,,,,,,False,Josh Cullen,Josh,Cullen,Josh Cullen,623716,"[1, 0]",,"{'id': 2838315457, 'eventType': 'Goal', 'teamId': 8191, 'playerId': 623716, 'playerName': 'Josh Cullen', 'x': 90.5, 'y': 44.2810191037, 'min': 47, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 30.797499999999996, 'goalCrossedZ': 0.28252631440000003, 'expectedGoals': 0.07620485126972198, 'expectedGoalsOnTarget': 0.7498972415924072, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.8472222222222223, 'y': 0.07474241121693122, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 1125720, 'firstName': 'Josh', 'lastName': 'Cullen', 'fullName': 'Josh Cullen', 'teamColor': '#5E1444'}",assist by Jaidon Anthony,/players/1171140/jaidon-anthony,1171140,assist_by,Jaidon Anthony,Cullen
1302558088Goal1171140undefinedtrue,88,Goal,88,,13025580,"{'id': 1171140, 'name': 'Jaidon Anthony', 'profileUrl': '/players/1171140/jaidon-anthony'}",1,0,/players/1171140/jaidon-anthony,False,True,,,,,,False,Jaidon Anthony,Jaidon,Anthony,Jaidon Anthony,1171140,"[2, 0]",,"{'id': 2838392315, 'eventType': 'Goal', 'teamId': 8191, 'playerId': 1171140, 'playerName': 'Jaidon Anthony', 'x': 94.1929824545, 'y': 44.5612738809, 'min': 88, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 34.838750000000005, 'goalCrossedZ': 1.6245263078, 'expectedGoals': 0.5791047811508179, 'expectedGoalsOnTarget': 0.8317030072212219, 'shotType': 'LeftFoot', 'situation': 'FastBreak', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 0.7781084656084645, 'y': 0.42976886449735446, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 1125720, 'firstName': 'Jaidon', 'lastName': 'Anthony', 'fullName': 'Jaidon Anthony', 'teamColor': '#5E1444'}",assist by Josh Cullen,/players/623716/josh-cullen,623716,assist_by,Josh Cullen,Anthony
1302649834Goal942381undefinedtrue,34,Goal,34,,13026498,"{'id': 942381, 'name': 'Jurrien Timber', 'profileUrl': '/players/942381/jurrien-timber'}",0,0,/players/942381/jurrien-timber,False,True,,Header,header,,,False,Jurrien Timber,Jurrien,Timber,Jurrien Timber,942381,"[1, 0]",,"{'id': 2838455611, 'eventType': 'Goal', 'teamId': 9825, 'playerId': 942381, 'playerName': 'Jurrien Timber', 'x': 100.6379310348, 'y': 34.1525, 'min': 34, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 30.797499999999996, 'goalCrossedZ': 0.6099999970000001, 'expectedGoals': 0.2178587168455124, 'expectedGoalsOnTarget': 0.9222174286842346, 'shotType': 'Header', 'situation': 'FromCorner', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.8472222222222223, 'y': 0.16137566058201058, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 637656, 'firstName': 'Jurrien', 'lastName': 'Timber', 'fullName': 'Jurrien Timber', 'teamColor': '#bd0510'}",assist by Declan Rice,/players/654096/declan-rice,654096.0,assist_by,Declan Rice,Timber
1302688956Goal942381undefinedtrue,56,Goal,56,,13026889,"{'id': 942381, 'name': 'Jurrien Timber', 'profileUrl': '/players/942381/jurrien-timber'}",3,0,/players/942381/jurrien-timber,False,True,,,,,,False,Jurrien Timber,Jurrien,Timber,Jurrien Timber,942381,"[4, 0]",,"{'id': 2838496503, 'eventType': 'Goal', 'teamId': 9825, 'playerId': 942381, 'playerName': 'Jurrien Timber', 'x': 102.06034482780001, 'y': 34.61, 'min': 56, 'minAdded': None, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 32.70374999999999, 'goalCrossedZ': 1.3034736778000002, 'expectedGoals': 0.3956354856491089, 'expectedGoalsOnTarget': 0.744236409664154, 'shotType': 'RightFoot', 'situation': 'FromCorner', 'period': 'SecondHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.3429232804232825, 'y': 0.34483430629629636, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 637656, 'firstName': 'Jurrien', 'lastName': 'Timber', 'fullName': 'Jurrien Timber', 'teamColor': '#bd0510'}",assist by Riccardo Calafiori,/players/1105912/riccardo-calafiori,1105912.0,assist_by,Riccardo Calafiori,Timber
1302659745Goal961995undefinedtrue,45 + 1,Goal,45,1.0,13026597,"{'id': 961995, 'name': 'Bukayo Saka', 'profileUrl': '/players/961995/bukayo-saka'}",1,0,/players/961995/bukayo-saka,+1,True,,,,,,False,Bukayo Saka,Bukayo,Saka,Bukayo Saka,961995,"[2, 0]",,"{'id': 2838468333, 'eventType': 'Goal', 'teamId': 9825, 'playerId': 961995, 'playerName': 'Bukayo Saka', 'x': 100.3534482762, 'y': 21.4068789844, 'min': 45, 'minAdded': 1, 'isBlocked': False, 'isOnTarget': True, 'blockedX': None, 'blockedY': None, 'goalCrossedY': 33.39, 'goalCrossedZ': 1.6245263078, 'expectedGoals': 0.10565783083438873, 'expectedGoalsOnTarget': 0.25828486680984497, 'shotType': 'RightFoot', 'situation': 'RegularPlay', 'period': 'FirstHalf', 'isOwnGoal': False, 'onGoalShot': {'x': 1.1613756613756612, 'y': 0.42976886449735446, 'zoomRatio': 1}, 'isSavedOffLine': False, 'isFromInsideBox': True, 'keeperId': 637656, 'firstName': 'Bukayo', 'lastName': 'Saka', 'fullName': 'Bukayo Saka', 'teamColor': '#bd0510'}",assist by Jurrien Timber,/players/942381/jurrien-timber,942381.0,assist_by,Jurrien Timber,Saka
